customer_id,monthly_spend,tenure_months,login_frequency,support_tickets,churn
1116,176.86,56,8,4,1
1117,164.66,44,5,4,1
1118,53.58,47,1,3,1
1119,180.66,57,4,3,1
1120,117.08,10,3,0,0
1121,165.34,30,9,6,1
1122,181.3,25,8,8,1
1123,77.24,39,1,2,1
1124,39.81,20,27,1,0
1125,61.03,5,6,2,0
1126,96.88,1,9,0,0
1127,167.24,30,7,5,1
1128,174.93,49,4,6,1
1129,21.25,3,13,1,0
1130,111.93,45,17,7,0
1131,95.13,14,28,5,0
1132,59.98,56,2,3,1
1133,41.58,30,28,4,0
1134,80.77,50,5,7,1
1135,189.72,4,12,2,0
1136,78.18,18,27,2,0
1137,113.38,37,21,3,0
1138,146.54,25,8,0,0
1139,85.45,48,6,8,1
1140,194.92,1,8,7,1
1141,193.24,53,18,7,1
1142,65.32,46,3,9,1
1143,109.5,15,22,5,0
1144,74.16,9,12,6,1
1145,71.27,15,29,5,0
1146,26.64,49,26,8,0
1147,129.72,57,3,2,1
1148,110.48,24,22,2,0
1149,29.27,4,6,2,0
1150,70.16,12,2,9,1
1151,183.49,59,23,2,0
1152,63.12,58,12,8,1
1153,46.08,37,2,3,1
1154,108.1,37,6,6,1
1155,197.42,43,17,8,1
1156,63.57,6,3,6,1
1157,140.98,39,2,8,1
1158,157.09,56,23,2,0
1159,62.77,46,20,3,0
1160,151.08,24,8,7,1
1161,86.2,11,22,5,0
1162,133.82,13,12,4,0
1163,134.04,34,26,3,0
1164,116.44,25,4,7,1
1165,36.25,7,5,0,0
1166,170.35,52,13,8,1
1167,77.74,4,29,0,0
1168,53.57,59,15,7,1
1169,27.34,8,25,3,0
1170,126.36,20,23,8,0
1171,141.96,29,16,4,0
1172,22.99,54,10,2,0
1173,112.18,53,25,8,0
1174,60.77,51,23,8,0
1175,136.13,45,16,3,0
1176,51.39,46,12,3,0
1177,144.37,10,17,7,1
1178,89.61,43,16,1,0
1179,188.61,34,12,8,1
1180,44.75,57,8,5,1
1181,81.39,26,20,8,0
1182,40.43,41,3,7,1
1183,186.44,49,16,6,1
1184,177.92,58,13,0,0
1185,66.43,3,23,2,0
1186,138.8,56,28,1,0
1187,167.1,6,19,4,0
1188,119.94,5,8,4,1
1189,115.34,5,22,4,0
1190,63.53,54,5,3,1
1191,36.76,47,20,4,0
1192,181.5,23,8,2,1
1193,182.08,49,24,0,0
1194,133.96,9,12,4,0
1195,81.03,35,1,8,1
1196,82.86,20,25,8,0
1197,150.67,58,21,3,0
1198,181.48,49,20,2,0
1199,179.68,59,6,0,0
1200,160.38,42,22,1,0
1201,135.57,35,18,7,0
1202,35.15,50,8,0,0
1203,49.09,18,7,7,1
1204,181.74,17,1,6,1
1205,129.16,24,21,7,0
1206,21.66,3,16,5,0
1207,38.26,32,12,8,1
1208,139.43,35,6,2,1
1209,20.91,38,20,9,0
1210,48.95,13,2,3,1
1211,118.77,56,29,5,0
1212,144.54,47,14,7,1
1213,137.35,25,4,4,1
1214,60.37,9,1,2,1
1215,148.19,4,23,5,0
1216,62.7,14,18,3,0
1217,78.57,37,13,8,1
1218,154.37,34,2,2,1
1219,136.93,11,9,3,1
1220,172.86,41,21,6,0
1221,138.37,56,2,6,1
1222,122.3,3,27,3,0
1223,36.86,59,25,5,0
1224,86.19,28,9,2,0
1225,67.74,29,1,5,1
1226,63.92,9,11,1,0
1227,195.14,3,3,7,1
1228,90.76,25,20,1,0
1229,180.57,34,23,6,0
1230,133.6,12,26,8,0
1231,163.07,42,4,0,1
1232,110.47,9,18,7,0
1233,123.84,15,23,6,0
1234,108.65,40,6,5,1
1235,55.14,25,3,5,1
1236,150.04,5,22,5,0
1237,70.54,11,11,8,1
1238,24.38,59,15,1,0
1239,136.19,34,22,0,0
1240,51.88,24,28,5,0
1241,189.28,15,5,9,1
1242,191.71,38,20,7,0
1243,184.68,8,10,2,0
1244,86.63,59,12,9,1
1245,22.78,5,15,0,0
1246,187.1,48,17,8,1
1247,97.07,26,10,0,0
1248,194.0,18,6,2,1
1249,193.45,6,18,7,1
1250,173.54,37,13,2,0
1251,73.0,48,3,3,1
1252,89.32,13,24,7,0
1253,173.2,28,10,0,0
1254,77.05,5,14,5,0
1255,50.51,13,6,0,0
1256,120.22,17,3,0,1
1257,188.51,50,16,7,1
1258,145.29,40,7,3,1
1259,122.61,45,20,0,0
1260,37.49,32,14,9,1
1261,130.7,29,9,6,1
1262,198.21,51,15,4,0
1263,45.22,58,21,4,0
1264,113.3,3,3,0,0
1265,177.93,56,2,9,1
1266,153.34,40,27,5,0
1267,145.46,34,2,8,1
1268,146.45,40,3,8,1
1269,84.71,27,18,7,0
1270,72.85,13,14,4,0
1271,165.69,45,20,0,0
1272,165.82,33,18,8,1
1273,176.07,6,10,0,0
1274,184.38,24,25,7,0
1275,112.04,19,2,4,1
1276,110.27,16,25,2,0
1277,163.69,40,29,6,0
1278,136.99,28,22,6,0
1279,146.35,33,1,8,1
1280,163.24,59,4,6,1
1281,180.2,59,14,2,0
1282,80.84,48,1,0,1
1283,87.6,41,14,7,1
1284,36.92,13,16,2,0
1285,124.09,43,22,7,0
1286,26.47,45,14,7,1
1287,103.81,25,29,4,0
1288,117.68,53,20,0,0
1289,71.58,42,3,9,1
1290,126.35,36,3,6,1
1291,25.49,27,9,9,1
1292,26.72,38,6,4,1
1293,168.07,7,25,7,0
1294,84.83,5,13,8,1
1295,42.87,43,21,6,0
1296,114.0,45,2,6,1
1297,158.6,58,8,0,0
1298,58.85,57,21,3,0
1299,132.12,51,2,1,1
1300,35.36,31,4,1,0
1301,29.3,23,25,1,0
1302,115.64,42,15,3,0
1303,117.31,10,4,0,0
1304,134.74,32,13,3,0
1305,150.7,43,28,1,0
1306,195.65,53,12,4,1
1307,112.93,30,28,2,0
1308,78.13,39,13,7,1
1309,163.13,31,14,3,0
1310,68.75,18,20,0,0
1311,99.01,36,18,0,0
1312,34.12,2,29,9,0
1313,24.56,14,28,2,0
1314,193.28,13,6,8,1
1315,170.48,29,29,6,0
1316,145.28,12,11,1,0
1317,93.61,39,2,8,1
1318,51.19,2,28,9,0
1319,48.16,32,23,1,0
1320,65.04,13,19,2,0
1321,118.86,46,19,9,1
1322,148.63,27,5,1,1
1323,138.84,49,19,2,0
1324,70.39,41,2,5,1
1325,191.88,17,10,8,1
1326,152.82,40,25,8,0
1327,119.78,31,2,6,1
1328,130.11,34,11,2,0
1329,95.53,24,18,3,0
1330,64.59,45,29,5,0
1331,84.08,35,24,4,0
1332,156.41,48,15,1,0
1333,22.59,6,9,5,1
1334,40.89,19,23,2,0
1335,28.28,30,19,7,0
1336,27.33,7,9,1,0
1337,173.98,10,3,0,1
1338,146.66,41,21,8,0
1339,105.35,32,9,2,0
1340,37.61,34,28,0,0
1341,108.49,28,14,6,1
1342,105.22,15,19,9,1
1343,51.18,30,7,4,1
1344,98.09,37,16,4,0
1345,91.73,29,16,0,0
1346,130.85,22,28,8,0
1347,134.32,4,1,6,1
1348,28.15,20,4,7,1
1349,87.43,32,4,8,1
1350,132.65,36,7,5,1
1351,110.56,50,8,4,1
1352,174.17,4,17,5,0
1353,138.56,27,5,1,1
1354,49.33,17,7,3,1
1355,32.7,12,28,2,0
1356,135.64,22,20,6,0
1357,24.77,17,29,8,0
1358,125.44,10,20,4,0
1359,189.24,54,4,5,1
1360,123.59,1,28,9,0
1361,89.87,22,6,1,0
1362,135.79,26,7,2,1
1363,102.49,56,18,2,0
1364,118.21,59,5,8,1
1365,189.46,18,20,6,0
1366,89.5,50,29,7,0
1367,193.01,14,3,9,1
1368,182.96,47,7,8,1
1369,55.24,29,27,5,0
1370,32.49,12,28,3,0
1371,38.14,36,22,0,0
1372,23.28,59,14,7,1
1373,37.0,35,7,6,1
1374,142.94,52,5,1,1
1375,32.81,12,29,7,0
1376,77.42,7,22,4,0
1377,172.08,29,5,6,1
1378,24.19,11,23,3,0
1379,166.6,33,2,4,1
1380,70.73,6,27,7,0
1381,41.27,47,21,0,0
1382,145.41,15,22,0,0
1383,133.21,32,6,3,1
1384,177.94,51,15,2,0
1385,152.31,11,21,9,1
1386,164.63,58,10,1,0
1387,70.77,23,23,2,0
1388,51.94,26,26,0,0
1389,155.11,34,24,0,0
1390,165.23,46,7,5,1
1391,198.29,34,5,4,1
1392,94.27,29,1,7,1
1393,86.96,4,13,1,0
1394,159.75,17,21,3,0
1395,81.34,35,26,7,0
1396,187.54,13,18,5,0
1397,174.51,41,13,0,0
1398,97.22,39,21,3,0
1399,155.16,15,21,0,0
1400,155.82,55,18,1,0
1401,38.56,29,5,4,1
1402,182.46,29,13,7,1
1403,110.95,11,4,7,1
1404,168.76,52,17,2,0
1405,77.61,32,3,3,1
1406,181.19,2,17,9,1
1407,90.06,47,28,5,0
1408,21.95,14,11,9,1
1409,182.97,20,21,2,0
1410,36.43,22,20,1,0
1411,77.48,11,23,5,0
1412,191.01,27,21,4,0
1413,191.11,3,26,9,0
1414,123.22,17,4,4,1
1415,133.73,44,2,9,1
1416,100.72,56,20,4,0
1417,72.78,28,16,9,1
1418,79.16,29,28,4,0
1419,141.05,21,18,2,0
1420,155.43,47,8,6,1
1421,162.48,16,3,5,1
1422,162.13,37,9,3,1
1423,36.42,59,29,1,0
1424,109.0,20,20,8,0
1425,30.36,6,29,0,0
1426,118.92,19,6,3,1
1427,99.48,57,10,0,0
1428,179.79,5,21,5,0
1429,83.16,3,10,3,0
1430,41.07,59,13,4,0
1431,45.74,1,17,4,0
1432,157.07,58,9,8,1
1433,131.28,38,17,0,0
1434,38.2,15,24,1,0
1435,35.14,34,9,5,1
1436,146.17,35,9,4,1
1437,33.1,49,1,6,1
1438,167.93,25,2,2,1
1439,147.12,24,28,2,0
1440,34.64,12,16,9,1
1441,35.27,18,29,1,0
1442,197.6,15,1,2,1
1443,87.37,44,10,9,1
1444,86.72,16,18,0,0
1445,166.3,27,26,4,0
1446,190.5,8,28,4,0
1447,197.48,46,8,6,1
1448,155.61,25,21,3,0
1449,87.73,17,28,2,0
1450,35.03,29,11,0,0
1451,159.89,53,23,7,0
1452,120.51,8,2,2,1
1453,96.36,15,8,1,0
1454,183.14,27,27,3,0
1455,40.02,46,22,2,0
1456,108.67,50,8,0,0
1457,22.04,52,17,2,0
1458,104.36,7,15,1,0
1459,30.13,3,17,7,0
1460,41.39,29,28,5,0
1461,41.15,44,23,8,0
1462,136.86,53,24,7,0
1463,154.29,24,13,9,1
1464,125.01,58,19,2,0
1465,193.19,3,5,4,1
1466,87.48,20,12,6,1
1467,71.43,46,1,4,1
1468,176.35,15,23,7,0
1469,60.25,25,5,4,1
1470,193.38,30,8,0,0
1471,22.19,14,13,4,0
1472,194.58,7,8,3,1
1473,27.77,17,25,5,0
1474,180.41,44,23,2,0
1475,114.99,20,11,4,0
1476,198.73,36,1,1,1
1477,33.28,9,13,5,0
1478,119.69,38,19,5,0
1479,194.47,48,24,4,0
1480,114.16,57,3,5,1
1481,133.29,22,24,6,0
1482,145.23,54,17,4,0
1483,101.82,53,5,0,0
1484,132.96,53,20,7,0
1485,125.18,2,21,3,0
1486,182.21,24,8,8,1
1487,28.18,8,26,9,0
1488,70.57,11,14,5,0
1489,191.07,13,4,0,1
1490,180.25,17,11,2,0
1491,102.02,8,20,2,0
1492,131.62,21,15,9,1
1493,69.93,18,19,3,0
1494,53.86,30,7,5,1
1495,103.47,18,19,6,0
1496,83.6,46,28,9,0
1497,125.06,47,19,3,0
1498,33.99,31,11,5,0
1499,195.39,38,26,0,0
1500,197.52,32,5,7,1
1501,145.67,11,5,6,1
1502,116.5,45,22,8,0
1503,75.71,25,8,2,0
1504,166.48,33,10,1,0
1505,143.25,38,6,0,0
1506,49.27,41,15,2,0
1507,183.97,8,16,4,0
1508,168.06,11,28,1,0
1509,190.96,22,17,2,0
1510,150.63,51,8,3,1
1511,130.41,24,8,6,1
1512,95.28,41,25,2,0
1513,187.89,17,9,8,1
1514,175.89,12,2,7,1
1515,28.14,57,15,3,0
1516,24.75,46,18,0,0
1517,87.76,32,3,0,0
1518,165.9,15,17,0,0
1519,197.71,16,4,0,1
1520,47.08,54,4,7,1
1521,126.94,22,14,2,0
1522,88.56,28,9,5,1
1523,194.58,20,9,2,0
1524,171.58,33,25,4,0
1525,170.9,10,26,6,0
1526,104.36,40,23,1,0
1527,94.67,32,18,5,0
1528,69.21,50,10,5,1
1529,30.15,33,21,2,0
1530,175.65,2,4,5,1
1531,166.32,33,12,9,1
1532,199.95,33,27,9,0
1533,199.39,41,8,4,1
1534,119.98,13,2,1,1
1535,158.42,30,22,8,0
1536,190.06,33,13,7,1
1537,172.94,13,21,2,0
1538,64.52,52,16,7,0
1539,101.1,26,28,8,0
1540,43.25,22,2,2,1
1541,191.73,39,11,2,0
1542,129.11,2,10,1,0
1543,61.16,38,15,7,1
1544,140.91,39,17,9,1
1545,131.26,26,8,0,0
1546,84.47,46,18,7,0
1547,40.44,58,23,6,0
1548,140.88,50,9,6,1
1549,113.66,15,25,2,0
1550,159.02,34,8,0,0
1551,113.63,42,27,3,0
1552,173.39,55,14,8,1
1553,119.34,44,28,4,0
1554,120.97,49,26,0,0
1555,177.8,40,25,4,0
1556,92.63,11,18,7,0
1557,44.12,3,22,7,0
1558,25.18,59,20,4,0
1559,155.92,6,20,8,0
1560,131.66,9,21,0,0
1561,146.73,6,12,3,0
1562,58.33,9,19,2,0
1563,44.55,39,14,1,0
1564,22.62,31,17,7,0
1565,83.11,32,24,6,0
1566,126.19,41,21,8,0
1567,90.6,50,3,1,1
1568,98.75,12,26,3,0
1569,182.75,8,23,5,0
1570,82.69,8,7,2,0
1571,112.52,50,17,7,0
1572,161.06,28,12,2,0
1573,91.38,20,9,1,0
1574,131.98,47,15,2,0
1575,175.23,59,18,5,0
1576,190.91,7,21,1,0
1577,46.47,11,13,7,1
1578,186.79,20,21,0,0
1579,108.58,16,8,6,1
1580,66.48,4,14,1,0
1581,102.64,6,8,9,1
1582,196.41,58,14,5,1
1583,108.67,22,7,1,0
1584,79.18,26,23,1,0
1585,134.01,3,12,9,1
1586,63.23,41,11,7,1
1587,33.66,42,22,1,0
1588,43.2,14,22,6,0
1589,43.05,11,11,2,0
1590,47.34,18,25,7,0
1591,44.99,54,22,6,0
1592,135.36,12,28,7,0
1593,52.74,23,29,6,0
1594,82.22,12,13,5,0
1595,181.42,13,18,6,0
1596,105.31,25,2,4,1
1597,140.16,45,29,6,0
1598,51.02,51,21,0,0
1599,54.61,58,15,0,0
1600,27.36,19,20,8,0
1601,50.41,55,27,4,0
1602,70.15,46,18,4,0
1603,51.86,36,15,2,0
1604,35.97,45,19,4,0
1605,41.71,8,23,2,0
1606,102.94,29,24,8,0
1607,57.14,55,12,8,1
1608,85.57,53,13,5,0
1609,110.62,55,22,0,0
1610,144.27,32,11,6,1
1611,27.08,51,5,6,1
1612,163.89,44,29,9,0
1613,133.02,18,1,9,1
1614,34.72,6,24,3,0
1615,177.24,18,3,7,1
1616,185.76,19,22,5,0
1617,30.99,22,19,3,0
1618,69.84,37,23,3,0
1619,165.12,32,29,1,0
1620,154.69,56,7,1,0
1621,53.21,41,12,3,0
1622,57.68,59,15,4,0
1623,86.68,3,25,7,0
1624,107.21,28,5,5,1
1625,131.29,10,15,3,0
1626,86.4,51,8,6,1
1627,103.26,35,10,7,1
1628,154.54,29,26,1,0
1629,26.6,54,16,6,0
1630,65.44,15,8,1,0
1631,148.4,33,1,1,1
1632,181.14,7,12,7,1
1633,112.1,12,5,1,0
1634,115.78,49,3,8,1
1635,39.29,30,1,0,0
1636,100.53,21,4,8,1
1637,115.87,31,8,0,0
1638,63.64,58,3,9,1
1639,68.46,24,10,9,1
1640,87.91,20,2,1,1
1641,23.61,37,11,5,0
1642,77.97,4,25,5,0
1643,58.06,28,10,0,0
1644,78.95,44,21,6,0
1645,41.56,20,14,7,1
1646,180.29,24,7,1,0
1647,126.85,50,27,7,0
1648,142.24,49,27,8,0
1649,162.05,51,2,5,1
1650,109.72,32,9,4,1
1651,35.65,41,16,8,1
1652,116.68,36,13,8,1
1653,125.63,58,9,0,0
1654,154.18,53,20,2,0
1655,97.7,34,4,8,1
1656,42.96,36,22,1,0
1657,71.08,2,10,3,0
1658,85.35,15,26,3,0
1659,136.27,34,26,1,0
1660,122.74,36,22,2,0
1661,84.1,6,12,2,0
1662,197.57,39,17,0,0
1663,129.04,42,14,5,0
1664,62.7,51,14,7,1
1665,38.32,51,25,2,0
1666,47.51,58,2,4,1
1667,64.27,54,21,0,0
1668,48.92,12,25,9,0
1669,53.58,3,20,6,0
1670,71.32,45,11,9,1
1671,51.21,18,16,0,0
1672,181.42,40,19,8,1
1673,34.44,21,23,7,0
1674,114.41,15,6,6,1
1675,93.87,33,24,9,0
1676,196.83,35,19,6,0
1677,40.17,26,5,4,1
1678,91.61,8,26,4,0
1679,194.5,36,4,4,1
1680,175.79,48,15,0,0
1681,167.07,30,29,7,0
1682,66.42,23,4,0,0
1683,50.76,42,20,3,0
1684,140.36,44,10,8,1
1685,187.29,14,24,8,0
1686,120.22,14,22,4,0
1687,122.89,2,3,3,1
1688,70.4,55,26,2,0
1689,158.51,37,5,2,1
1690,53.67,5,6,4,1
1691,78.26,38,21,9,0
1692,96.58,45,22,0,0
1693,111.37,41,8,4,1
1694,63.63,54,7,5,1
1695,40.67,47,21,6,0
1696,129.91,14,10,8,1
1697,71.95,56,6,2,0
1698,124.62,39,14,1,0
1699,47.79,25,4,2,1
1700,106.61,20,28,8,0
1701,115.87,2,25,6,0
1702,29.33,39,13,8,1
1703,80.59,6,20,1,0
1704,44.19,17,17,4,0
1705,31.41,59,23,3,0
1706,198.19,25,7,1,0
1707,78.02,57,4,8,1
1708,165.78,28,29,8,0
1709,65.84,2,14,5,0
1710,142.67,35,3,5,1
1711,156.84,37,24,7,0
1712,127.21,5,5,5,1
1713,104.88,1,16,0,0
1714,94.13,40,26,3,0
1715,82.8,12,23,6,0
1716,187.32,56,20,1,0
1717,169.51,36,4,8,1
1718,193.7,45,24,7,0
1719,42.37,23,24,7,0
1720,151.56,47,2,6,1
1721,188.9,31,18,3,0
1722,52.62,11,19,1,0
1723,31.97,10,28,2,0
1724,153.4,3,28,5,0
1725,123.41,54,19,4,0
1726,171.53,14,17,7,1
1727,45.16,16,14,5,0
1728,163.15,10,19,5,0
1729,56.29,29,22,0,0
1730,49.46,10,24,3,0
1731,49.57,12,13,4,0
1732,166.62,30,12,2,0
1733,139.74,41,26,8,0
1734,114.15,1,6,0,0
1735,84.59,5,21,5,0
1736,177.9,20,4,5,1
1737,90.64,8,19,9,1
1738,166.99,43,16,4,0
1739,99.04,12,13,4,0
1740,87.85,1,4,9,1
1741,103.28,57,23,4,0
1742,74.25,54,17,5,0
1743,154.57,20,23,7,0
1744,110.49,28,1,1,1
1745,61.8,57,18,5,0
1746,181.92,43,20,0,0
1747,89.1,37,17,3,0
1748,117.84,47,27,9,0
1749,183.16,37,28,2,0
1750,132.36,12,27,8,0
1751,41.04,37,15,2,0
1752,189.17,49,11,5,1
1753,132.99,49,25,0,0
1754,80.28,56,28,5,0
1755,45.07,44,22,3,0
1756,162.92,56,13,7,1
1757,131.61,28,1,8,1
1758,116.02,47,17,3,0
1759,180.9,15,6,9,1
1760,161.95,6,4,9,1
1761,47.3,44,20,5,0
1762,76.11,59,16,0,0
1763,64.73,20,15,3,0
1764,153.91,50,27,6,0
1765,26.04,14,15,0,0
1766,122.58,2,6,7,1
1767,157.24,9,15,9,1
1768,177.82,37,14,5,1
1769,81.57,20,28,4,0
1770,167.83,26,11,9,1
1771,39.91,29,7,8,1
1772,172.36,1,9,1,0
1773,42.95,55,26,4,0
1774,91.51,35,16,5,0
1775,163.51,6,5,6,1
1776,46.99,37,25,4,0
1777,61.27,53,20,8,0
1778,150.01,59,29,0,0
1779,149.61,5,10,6,1
1780,135.41,33,18,9,1
1781,144.91,49,3,6,1
1782,117.69,51,13,3,0
1783,65.32,14,11,8,1
1784,82.23,12,17,4,0
1785,52.69,42,22,3,0
1786,183.52,20,13,6,1
1787,125.01,53,6,3,1
1788,92.15,50,17,2,0
1789,103.16,24,27,8,0
1790,190.51,59,13,7,1
1791,47.6,43,19,0,0
1792,125.52,34,21,6,0
1793,111.06,25,19,8,0
1794,130.06,50,10,7,1
1795,23.26,29,3,7,1
1796,176.98,57,14,5,1
1797,187.78,39,26,3,0
1798,121.72,31,19,7,0
1799,145.4,56,5,2,1
1800,186.05,47,29,8,0
1801,147.3,43,5,1,1
1802,47.46,50,20,1,0
1803,123.73,23,17,6,0
1804,129.21,44,21,9,1
1805,96.34,38,10,3,0
1806,152.56,20,5,9,1
1807,188.19,23,4,7,1
1808,186.6,45,6,8,1
1809,101.15,52,26,6,0
1810,40.38,16,4,4,1
1811,197.27,50,7,7,1
1812,171.0,42,7,3,1
1813,42.44,55,18,1,0
1814,185.75,8,3,5,1
1815,176.58,50,1,8,1
1816,113.39,21,24,0,0
1817,126.43,1,25,9,0
1818,91.82,55,4,6,1
1819,29.86,8,6,9,1
1820,80.34,29,9,8,1
1821,164.51,32,22,9,1
1822,20.83,38,14,8,1
1823,80.03,5,28,9,0
1824,91.67,47,12,2,0
1825,116.73,22,28,4,0
1826,185.57,47,25,7,0
1827,82.34,34,20,7,0
1828,82.45,1,24,3,0
1829,152.75,55,25,0,0
1830,101.4,55,4,0,0
1831,60.43,26,21,3,0
1832,101.44,43,24,5,0
1833,45.35,10,12,7,1
1834,51.75,30,10,5,1
1835,109.71,50,22,8,0
1836,95.41,18,28,8,0
1837,184.67,17,7,1,0
1838,85.23,26,3,9,1
1839,124.51,8,23,0,0
1840,133.81,47,28,1,0
1841,22.36,40,14,4,0
1842,139.44,49,24,3,0
1843,52.05,12,10,3,0
1844,192.99,27,16,8,1
1845,46.76,8,16,7,0
1846,94.63,25,22,5,0
1847,35.36,46,10,0,0
1848,199.44,4,25,1,0
1849,110.4,33,13,5,0
1850,127.17,1,6,1,0
1851,32.07,19,12,9,1
1852,154.99,31,9,4,1
1853,57.78,16,13,4,0
1854,181.65,14,4,5,1
1855,56.93,53,24,5,0
1856,54.32,48,11,5,1
1857,26.58,5,20,1,0
1858,104.97,41,18,9,1
1859,121.67,26,26,2,0
1860,31.83,28,11,5,0
1861,159.59,2,25,7,0
1862,101.59,50,21,0,0
1863,114.39,6,4,0,0
1864,99.34,9,18,1,0
1865,92.14,33,1,5,1
1866,120.74,41,27,8,0
1867,47.94,25,7,3,1
1868,52.75,48,6,2,0
1869,175.12,13,15,7,1
1870,190.3,9,18,9,1
1871,87.2,53,24,8,0
1872,68.73,13,11,4,0
1873,135.92,31,20,8,0
1874,93.57,41,24,1,0
1875,24.57,11,15,2,0
1876,48.11,4,16,6,0
1877,148.88,34,7,6,1
1878,138.61,38,21,5,0
1879,24.88,46,10,5,1
1880,59.95,4,26,1,0
1881,61.59,38,12,9,1
1882,140.94,19,24,5,0
1883,23.55,6,14,3,0
1884,38.74,34,25,2,0
1885,163.98,18,5,1,1
1886,52.14,13,26,0,0
1887,137.49,41,21,4,0
1888,62.87,23,18,1,0
1889,37.9,19,5,1,0
1890,63.77,45,3,6,1
1891,150.01,11,23,7,0
1892,174.03,1,26,9,0
1893,169.44,24,5,7,1
1894,91.49,54,24,3,0
1895,140.26,7,17,0,0
1896,56.9,25,19,6,0
1897,72.77,21,19,0,0
1898,181.34,15,25,3,0
1899,22.34,1,21,7,0
1900,35.39,12,12,1,0
1901,57.42,58,25,5,0
1902,24.78,7,29,5,0
1903,52.66,15,9,8,1
1904,124.95,21,1,4,1
1905,95.86,19,18,9,1
1906,180.68,29,21,3,0
1907,167.14,25,4,4,1
1908,81.53,33,10,9,1
1909,66.7,49,25,4,0
1910,88.34,32,7,7,1
1911,126.25,49,22,9,0
1912,68.25,35,23,7,0
1913,132.35,44,1,1,1
1914,93.69,38,17,6,0
1915,119.37,26,24,7,0
1916,98.5,11,29,5,0
1917,73.0,35,29,4,0
1918,190.72,8,2,8,1
1919,157.45,46,28,2,0
1920,45.22,14,26,9,0
1921,176.32,10,11,3,0
1922,107.74,2,9,8,1
1923,181.02,46,7,5,1
1924,163.97,9,22,7,0
1925,96.54,3,17,6,0
1926,24.04,21,17,1,0
1927,68.36,26,2,2,1
1928,117.49,8,6,0,0
